Linux 6.6.9-amd64 (kali) 	10/15/2025 	_x86_64_	(2 CPU)

03:12:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:43 AM     0     13389      5.77      0.00  kworker/1:1-events
03:12:43 AM     0     13719      0.00      0.00  kworker/u6:0-events_unbound
03:12:43 AM     0     14132      1.99      0.00  kworker/1:1H-kblockd
03:12:43 AM     0     14133      0.00      0.00  kworker/0:1H-kblockd
03:12:43 AM     0     14558      4.77      0.00  kworker/0:1-events
03:12:43 AM  1000     14579      0.80      0.00  xfconfd
03:12:43 AM     0     14601      1.79      0.00  kworker/u5:1-events_unbound
03:12:43 AM     0     14603      0.00      0.00  kworker/u5:2-events_unbound
03:12:43 AM     0     14621      0.60      0.00  kworker/u6:3-events_unbound
03:12:43 AM     0     14649      0.60      0.00  kworker/1:0-ata_sff
03:12:43 AM     0     14677      0.00      0.00  kworker/1:2-cgroup_destroy
03:12:43 AM     0     14697      0.99      0.00  kworker/0:0H-kblockd
03:12:43 AM     0     14761      0.00      0.00  kworker/u6:1-events_unbound
03:12:43 AM  1000     14830      0.20      0.20  pidstat
03:12:43 AM  1000     14832      0.40      0.00  runner
03:12:43 AM  1000     14833      3.58     17.50  ema_sort
03:12:43 AM  1000     14834      4.97      8.15  ema_sort
03:12:43 AM  1000     14835      4.77      9.34  ema_sort
03:12:43 AM  1000     14836      3.98      7.55  ema_sort
03:12:43 AM  1000     14837      4.77      7.36  ema_sort
03:12:43 AM  1000     14838      2.78     10.93  ema_sort
03:12:43 AM  1000     14839      4.37      5.96  ema_sort
03:12:43 AM  1000     14840      4.57     15.90  ema_sort

03:12:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:49 AM     0         1    0.00    0.00    0.00    0.00    0.00     1  systemd
03:12:49 AM     0         2    0.00    0.00    0.00    0.00    0.00     0  kthreadd
03:12:49 AM     0         3    0.00    0.00    0.00    0.00    0.00     0  pool_workqueue_release
03:12:49 AM     0         4    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_g
03:12:49 AM     0         5    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rcu_p
03:12:49 AM     0         6    0.00    0.00    0.00    0.00    0.00     0  kworker/R-slub_
03:12:49 AM     0         7    0.00    0.00    0.00    0.00    0.00     0  kworker/R-netns
03:12:49 AM     0        12    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mm_pe
03:12:49 AM     0        13    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_kthread
03:12:49 AM     0        14    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_rude_kthread
03:12:49 AM     0        15    0.00    0.00    0.00    0.00    0.00     0  rcu_tasks_trace_kthread
03:12:49 AM     0        16    0.00    0.00    0.00    0.00    0.00     0  ksoftirqd/0
03:12:49 AM     0        17    0.00    0.00    0.00    0.20    0.00     0  rcu_preempt
03:12:49 AM     0        18    0.00    0.00    0.00    0.00    0.00     0  migration/0
03:12:49 AM     0        19    0.00    0.00    0.00    0.00    0.00     0  idle_inject/0
03:12:49 AM     0        20    0.00    0.00    0.00    0.00    0.00     0  cpuhp/0
03:12:49 AM     0        21    0.00    0.00    0.00    0.00    0.00     1  cpuhp/1
03:12:49 AM     0        22    0.00    0.00    0.00    0.00    0.00     1  idle_inject/1
03:12:49 AM     0        23    0.00    0.00    0.00    0.00    0.00     1  migration/1
03:12:49 AM     0        24    0.00    0.00    0.00    0.00    0.00     1  ksoftirqd/1
03:12:49 AM     0        26    0.00    0.00    0.00    0.00    0.00     1  kworker/1:0H-events_highpri
03:12:49 AM     0        31    0.00    0.00    0.00    0.00    0.00     0  kdevtmpfs
03:12:49 AM     0        32    0.00    0.00    0.00    0.00    0.00     1  kworker/R-inet_
03:12:49 AM     0        33    0.00    0.00    0.00    0.00    0.00     0  kauditd
03:12:49 AM     0        35    0.00    0.00    0.00    0.00    0.00     1  khungtaskd
03:12:49 AM     0        36    0.00    0.00    0.00    0.00    0.00     1  oom_reaper
03:12:49 AM     0        38    0.00    0.00    0.00    0.00    0.00     1  kworker/R-write
03:12:49 AM     0        39    0.00    0.00    0.00    0.00    0.00     1  kcompactd0
03:12:49 AM     0        40    0.00    0.00    0.00    0.00    0.00     1  ksmd
03:12:49 AM     0        41    0.00    0.00    0.00    0.00    0.00     1  khugepaged
03:12:49 AM     0        42    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kinte
03:12:49 AM     0        43    0.00    0.00    0.00    0.00    0.00     1  kworker/R-kbloc
03:12:49 AM     0        44    0.00    0.00    0.00    0.00    0.00     1  kworker/R-blkcg
03:12:49 AM     0        45    0.00    0.00    0.00    0.00    0.00     1  kworker/R-tpm_d
03:12:49 AM     0        46    0.00    0.00    0.00    0.00    0.00     1  kworker/R-edac-
03:12:49 AM     0        47    0.00    0.00    0.00    0.00    0.00     1  kworker/R-devfr
03:12:49 AM     0        49    0.00    0.20    0.00    0.00    0.20     0  kswapd0
03:12:49 AM     0        57    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kthro
03:12:49 AM     0        59    0.00    0.00    0.00    0.00    0.00     0  kworker/R-acpi_
03:12:49 AM     0        61    0.00    0.00    0.00    0.00    0.00     0  kworker/R-mld
03:12:49 AM     0        62    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ipv6_
03:12:49 AM     0        67    0.00    0.00    0.00    0.00    0.00     0  kworker/R-kstrp
03:12:49 AM     0        69    0.00    0.00    0.00    0.00    0.00     0  kworker/u7:0
03:12:49 AM     0        70    0.00    0.00    0.00    0.00    0.00     0  kworker/u8:0
03:12:49 AM     0        71    0.00    0.00    0.00    0.00    0.00     0  kworker/u9:0
03:12:49 AM     0       172    0.00    0.00    0.00    0.00    0.00     0  kworker/R-crypt
03:12:49 AM     0       179    0.00    0.00    0.00    0.00    0.00     1  kworker/R-ata_s
03:12:49 AM     0       181    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_0
03:12:49 AM     0       182    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
03:12:49 AM     0       183    0.00    0.00    0.00    0.00    0.00     1  scsi_eh_1
03:12:49 AM     0       186    0.00    0.00    0.00    0.00    0.00     0  kworker/R-scsi_
03:12:49 AM     0       187    0.00    0.00    0.00    0.00    0.00     0  scsi_eh_2
03:12:49 AM     0       190    0.00    0.00    0.00    0.00    0.00     1  kworker/R-scsi_
03:12:49 AM     0       196    0.00    0.00    0.00    0.00    0.00     1  irq/18-vmwgfx
03:12:49 AM     0       197    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ttm
03:12:49 AM     0       235    0.00    0.00    0.00    0.00    0.00     0  kworker/0:2H-kblockd
03:12:49 AM     0       269    0.00    0.00    0.00    0.00    0.00     1  jbd2/sda1-8
03:12:49 AM     0       270    0.00    0.00    0.00    0.00    0.00     0  kworker/R-ext4-
03:12:49 AM     0       312    0.00    0.00    0.00    0.00    0.00     1  psimon
03:12:49 AM     0       327    0.00    0.00    0.00    0.20    0.00     1  systemd-journal
03:12:49 AM     0       371    0.00    0.00    0.00    0.00    0.00     0  systemd-udevd
03:12:49 AM     0       383    0.00    0.20    0.00   10.28    0.20     1  kworker/u4:1-ext4-rsv-conversion
03:12:49 AM     0       409    0.00    0.00    0.00    0.00    0.00     0  psimon
03:12:49 AM     0       466    0.00    0.00    0.00    0.00    0.00     1  haveged
03:12:49 AM     0       484    0.00    0.00    0.00    0.00    0.00     1  accounts-daemon
03:12:49 AM   100       486    0.00    0.00    0.00    0.00    0.00     0  dbus-daemon
03:12:49 AM   991       492    0.00    0.00    0.00    0.00    0.00     0  polkitd
03:12:49 AM     0       493    0.00    0.00    0.00    0.20    0.00     1  systemd-logind
03:12:49 AM     0       496    0.00    0.00    0.00    0.00    0.00     0  kworker/R-rpcio
03:12:49 AM     0       497    0.00    0.00    0.00    0.00    0.00     1  kworker/R-xprti
03:12:49 AM     0       500    0.00    0.00    0.00    0.00    0.00     0  cron
03:12:49 AM     0       547    0.00    0.00    0.00    0.00    0.00     1  NetworkManager
03:12:49 AM     0       585    0.00    0.00    0.00    0.00    0.00     1  ModemManager
03:12:49 AM     0       643    0.00    0.00    0.00    0.00    0.00     0  kworker/u4:2-ext4-rsv-conversion
03:12:49 AM     0       683    0.00    0.00    0.00    0.00    0.00     1  VBoxService
03:12:49 AM     0       781    0.00    0.00    0.00    0.00    0.00     1  lightdm
03:12:49 AM     0       788    0.00    0.00    0.00    0.00    0.00     1  containerd
03:12:49 AM     0       815    0.00    0.00    0.00    0.00    0.00     0  Xorg
03:12:49 AM     0       817    0.00    0.00    0.00    0.00    0.00     1  agetty
03:12:49 AM     0       824    0.00    0.00    0.00    0.00    0.00     1  dockerd
03:12:49 AM   112       961    0.00    0.00    0.00    0.00    0.00     1  rtkit-daemon
03:12:49 AM     0      1098    0.00    0.00    0.00    0.00    0.00     1  lightdm
03:12:49 AM  1000      1105    0.00    0.00    0.00    0.00    0.00     0  systemd
03:12:49 AM  1000      1106    0.00    0.00    0.00    0.00    0.00     0  (sd-pam)
03:12:49 AM  1000      1124    0.00    0.00    0.00    0.00    0.00     0  pipewire
03:12:49 AM  1000      1125    0.00    0.00    0.00    0.00    0.00     1  pipewire
03:12:49 AM  1000      1127    0.00    0.00    0.00    0.00    0.00     1  wireplumber
03:12:49 AM  1000      1128    0.00    0.00    0.00    0.00    0.00     0  pipewire-pulse
03:12:49 AM  1000      1129    0.00    0.00    0.00    0.00    0.00     0  gnome-keyring-d
03:12:49 AM  1000      1130    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
03:12:49 AM  1000      1153    0.00    0.00    0.00    0.00    0.00     0  xfce4-session
03:12:49 AM  1000      1207    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1209    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1222    0.00    0.00    0.00    0.00    0.00     0  VBoxClient
03:12:49 AM  1000      1223    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1230    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1231    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1243    0.00    0.00    0.00    0.00    0.00     1  ssh-agent
03:12:49 AM  1000      1253    0.00    0.00    0.00    0.00    0.00     0  at-spi-bus-laun
03:12:49 AM  1000      1260    0.00    0.00    0.00    0.00    0.00     0  dbus-daemon
03:12:49 AM  1000      1272    0.00    0.00    0.00    0.00    0.00     0  at-spi2-registr
03:12:49 AM  1000      1284    0.00    0.00    0.00    0.00    0.00     0  gpg-agent
03:12:49 AM  1000      1290    0.00    0.00    0.00    0.00    0.00     1  gvfsd
03:12:49 AM  1000      1296    0.00    0.00    0.00    0.00    0.00     1  gvfsd-fuse
03:12:49 AM  1000      1320    0.00    0.00    0.00    0.00    0.00     1  VBoxClient
03:12:49 AM  1000      1321    0.00    0.00    0.00    0.00    0.00     0  VBoxClient
03:12:49 AM  1000      1325    0.00    0.00    0.00   22.33    0.00     0  xfsettingsd
03:12:49 AM     0      1329    0.00    0.00    0.00    0.00    0.00     0  upowerd
03:12:49 AM  1000      1343    0.00    0.00    0.00    0.00    0.00     1  Thunar
03:12:49 AM  1000      1349    0.00    0.20    0.00    0.20    0.20     0  xfdesktop
03:12:49 AM  1000      1408    0.00    0.00    0.00    0.00    0.00     0  xfce4-power-man
03:12:49 AM  1000      1456    0.00    0.00    0.00    0.00    0.00     0  nm-applet
03:12:49 AM  1000      1459    0.00    0.00    0.00    0.00    0.00     0  gvfs-udisks2-vo
03:12:49 AM  1000      1461    0.00    0.00    0.00    0.00    0.00     0  xcape
03:12:49 AM  1000      1464    0.00    0.00    0.00    0.00    0.00     0  light-locker
03:12:49 AM     0      1469    0.00    0.00    0.00    0.00    0.00     1  udisksd
03:12:49 AM  1000      1472    0.00    0.00    0.00    0.00    0.00     0  polkit-mate-aut
03:12:49 AM  1000      1478    0.00    0.00    0.00    0.00    0.00     0  agent
03:12:49 AM  1000      1488    0.00    0.00    0.00    0.00    0.00     0  xiccd
03:12:49 AM  1000      1502    0.00    0.00    0.00    0.00    0.00     0  blueman-applet
03:12:49 AM  1000      1518    0.00    0.00    0.00    0.00    0.00     1  dconf-service
03:12:49 AM   113      1523    0.00    0.00    0.00    0.00    0.00     0  colord
03:12:49 AM  1000      1542    0.00    0.00    0.00    0.00    0.00     0  gvfs-goa-volume
03:12:49 AM  1000      1566    0.00    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
03:12:49 AM  1000      1593    0.00    0.00    0.00    0.00    0.00     1  gvfs-mtp-volume
03:12:49 AM  1000      1625    0.00    0.00    0.00    0.00    0.00     1  gvfs-afc-volume
03:12:49 AM  1000      1657    0.00    0.00    0.00    0.00    0.00     0  gvfsd-trash
03:12:49 AM  1000      1670    0.00    0.00    0.00    0.00    0.00     0  gvfsd-metadata
03:12:49 AM  1000      1694    0.00    0.00    0.00    0.00    0.00     0  xdg-desktop-por
03:12:49 AM  1000      1700    0.00    0.00    0.00    0.00    0.00     0  xdg-document-po
03:12:49 AM  1000      1708    0.00    0.00    0.00    0.00    0.00     0  xdg-permission-
03:12:49 AM  1000      1715    0.00    0.00    0.00    0.00    0.00     0  fusermount3
03:12:49 AM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  obexd
03:12:49 AM  1000      1722    0.00    0.00    0.00    0.00    0.00     0  xdg-desktop-por
03:12:49 AM  1000      3150    0.00    0.00    0.00    0.20    0.00     0  xfwm4
03:12:49 AM  1000      3246    0.00    0.00    0.00    0.00    0.00     1  xfce4-notifyd
03:12:49 AM  1000      3584    0.00    0.00    0.00    0.00    0.00     1  gvfsd-network
03:12:49 AM  1000      3602    0.00    0.00    0.00    0.00    0.00     0  gvfsd-dnssd
03:12:49 AM     0      3645    0.00    0.00    0.00    0.00    0.00     0  dbus-launch
03:12:49 AM     0      3646    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
03:12:49 AM     0      3657    0.00    0.00    0.00    0.00    0.00     1  xdg-desktop-por
03:12:49 AM     0      3663    0.00    0.00    0.00    0.00    0.00     0  xdg-document-po
03:12:49 AM     0      3668    0.00    0.00    0.00    0.00    0.00     1  xdg-permission-
03:12:49 AM     0      3675    0.00    0.00    0.00    0.00    0.00     1  fusermount3
03:12:49 AM     0      3680    0.00    0.00    0.00    0.00    0.00     0  xdg-desktop-por
03:12:49 AM     0      3689    0.00    0.00    0.00    0.00    0.00     0  gvfsd
03:12:49 AM     0      3695    0.00    0.00    0.00    0.00    0.00     0  gvfsd-fuse
03:12:49 AM     0      3723    0.00    0.00    0.00    0.00    0.00     0  gvfs-udisks2-vo
03:12:49 AM     0      3730    0.00    0.00    0.00    0.00    0.00     1  gvfs-goa-volume
03:12:49 AM     0      3736    0.00    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
03:12:49 AM     0      3742    0.00    0.00    0.00    0.00    0.00     0  gvfs-mtp-volume
03:12:49 AM     0      3748    0.00    0.00    0.00    0.00    0.00     1  gvfs-afc-volume
03:12:49 AM     0      3798    0.00    0.00    0.00   18.77    0.00     0  xfce4-notifyd
03:12:49 AM  1000      7189    0.00    0.00    0.00   33.40    0.00     0  qterminal
03:12:49 AM  1000      7192    0.00    0.00    0.00    0.00    0.00     0  zsh
03:12:49 AM     0      9150    0.00    0.00    0.00    0.00    0.00     0  kworker/0:0-cgroup_destroy
03:12:49 AM  1000      9763    0.00    0.00    0.00   22.33    0.00     0  qterminal
03:12:49 AM  1000      9766    0.00    0.00    0.00    0.00    0.00     0  zsh
03:12:49 AM  1000      9793    0.00    0.00    0.00   22.13    0.00     0  qterminal
03:12:49 AM  1000      9796    0.00    0.00    0.00    0.00    0.00     1  zsh
03:12:49 AM  1000      9813    0.00    0.00    0.00   17.79    0.00     0  qterminal
03:12:49 AM  1000      9816    0.00    0.00    0.00    0.00    0.00     0  zsh
03:12:49 AM  1000      9849    0.00    0.20    0.00   19.17    0.20     0  qterminal
03:12:49 AM  1000      9852    0.00    0.00    0.00    0.00    0.00     1  zsh
03:12:49 AM  1000     10053    0.00    0.00    0.00    0.00    0.00     0  sudo
03:12:49 AM  1000     10176    0.00    0.00    0.00    0.00    0.00     1  sudo
03:12:49 AM  1000     10219    0.00    0.00    0.00    0.00    0.00     1  sudo
03:12:49 AM  1000     10351    0.00    0.00    0.00    0.00    0.00     0  qterminal
03:12:49 AM  1000     10354    0.00    0.00    0.00    0.00    0.00     0  zsh
03:12:49 AM     0     13118    0.00    0.00    0.00    0.00    0.00     0  kworker/u5:0-events_unbound
03:12:49 AM     0     13201    0.00    0.00    0.00    0.00    0.00     1  kworker/u6:2-flush-8:0
03:12:49 AM     0     13389    0.00    0.00    0.00    0.00    0.00     1  kworker/1:1-mm_percpu_wq
